NAME,SEASON,TM,GP,CMP,ATT,PCT,YDS,AVG,YDS/G,TD,INT,RATE,TD%,INT%,SCK,SCKY
Jared Goff,2019,LAR,16,394,626,62.9,4638,7.4,289.9,22,16,86.5,3.5,2.6,22,170
Jared Goff,2020,LAR,15,370,552,67,3952,7.2,263.5,20,13,90,3.6,2.4,23,161
Jared Goff,2021,DET,14,332,494,67.2,3245,6.6,231.8,19,8,91.5,3.8,1.6,35,280
Jared Goff,2022,DET,17,382,587,65.1,4438,7.6,261.1,29,7,99.3,4.9,1.2,23,156
Jared Goff,2023,DET,17,407,605,67.3,4575,7.6,269.1,30,12,97.9,5,2,30,197
